N,kind,cpe_med,cpe_min,cpe_max,n_reps
66,baseline,0.4483,0.4325,0.9819,3
66,temporal,0.0467,0.0446,0.0474,3
130,baseline,0.0686,0.0631,0.0707,3
130,temporal,0.0356,0.0356,0.0360,3
194,baseline,0.0304,0.0298,0.0341,3
194,temporal,0.0354,0.0354,0.0354,3
258,baseline,0.0309,0.0306,0.0311,3
258,temporal,0.0397,0.0396,0.0397,3
